created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status.
2021-12-22T14:36:37+01:00,1,22.79,44.06,1010.33,12.40,19.50,"$GNGGA,133633.290,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F",,,,
2021-12-22T14:36:57+01:00,2,23.05,42.73,1010.34,12.40,18.40,"$GNGGA,133653.306,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57",,,,
2021-12-22T14:37:17+01:00,3,23.42,41.49,1010.36,13.50,21.50,"$GNGGA,133713.094,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A",,,,
2021-12-22T14:37:37+01:00,4,23.86,40.38,1010.37,13.60,21.50,"$GNGGA,133733.304,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52",,,,
2021-12-22T14:37:57+01:00,5,24.32,39.34,1010.39,14.60,22.30,"$GNGGA,133753.088,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2021-12-22T14:38:18+01:00,6,24.80,38.58,1010.39,13.60,22.00,"$GNGGA,133813.000,4900.5163,N,00825.4693,E,1,4,2.41,130.1,M,47.9,M,,*48",,,,
2021-12-22T14:38:38+01:00,7,25.27,37.83,1010.39,14.00,23.90,"$GNGGA,133833.000,4900.5156,N,00825.4529,E,1,5,1.86,135.9,M,47.9,M,,*4A",,,,
2021-12-22T14:38:59+01:00,8,25.71,37.21,1010.41,14.80,27.90,"$GNGGA,133854.000,4900.5210,N,00825.4519,E,1,5,1.85,138.6,M,47.9,M,,*48",,,,
2021-12-22T14:39:19+01:00,9,26.13,36.51,1010.41,15.60,26.50,"$GNGGA,133914.000,4900.5196,N,00825.4533,E,1,6,1.48,139.5,M,47.9,M,,*48",,,,
2021-12-22T14:39:39+01:00,10,26.53,35.95,1010.42,15.20,23.50,"$GNGGA,133934.000,4900.5200,N,00825.4544,E,1,6,1.48,140.4,M,47.9,M,,*49",,,,
2021-12-22T14:40:00+01:00,11,26.90,35.32,1010.42,13.90,18.70,"$GNGGA,133955.000,4900.5239,N,00825.4536,E,1,5,2.76,141.3,M,47.9,M,,*4A",,,,
2021-12-22T14:40:20+01:00,12,27.24,34.81,1010.43,13.80,20.80,"$GNGGA,134015.000,4900.5217,N,00825.4556,E,1,5,2.77,141.7,M,47.9,M,,*4F",,,,
2021-12-22T14:40:41+01:00,13,27.58,34.46,1010.43,13.70,20.70,"$GNGGA,134036.000,4900.5180,N,00825.4513,E,1,5,2.77,140.7,M,47.9,M,,*43",,,,
2021-12-22T14:41:02+01:00,14,27.88,33.79,1010.43,13.80,20.20,"$GNGGA,134057.000,4900.5186,N,00825.4539,E,1,6,1.47,140.7,M,47.9,M,,*49",,,,
2021-12-22T14:41:22+01:00,15,28.16,33.24,1010.43,14.60,18.20,"$GNGGA,134117.000,4900.5196,N,00825.4435,E,1,6,1.58,139.3,M,47.9,M,,*44",,,,
2021-12-22T14:41:42+01:00,16,28.43,32.92,1010.42,14.70,19.40,"$GNGGA,134137.000,4900.5189,N,00825.4425,E,1,5,2.78,137.9,M,47.9,M,,*4F",,,,
2021-12-22T14:42:03+01:00,17,28.68,32.35,1010.41,14.70,19.10,"$GNGGA,134158.000,4900.5187,N,00825.4552,E,1,5,2.79,136.8,M,47.9,M,,*48",,,,
2021-12-22T14:42:23+01:00,18,28.91,31.80,1010.42,14.10,21.00,"$GNGGA,134218.000,4900.5224,N,00825.4538,E,1,5,2.79,138.7,M,47.9,M,,*48",,,,
2021-12-22T14:42:43+01:00,19,29.13,31.53,1010.40,14.70,19.10,"$GNGGA,134238.000,4900.5203,N,00825.4606,E,1,5,2.80,139.9,M,47.9,M,,*48",,,,
2021-12-22T14:43:04+01:00,20,29.33,31.21,1010.40,14.20,18.00,"$GNGGA,134259.000,4900.5177,N,00825.4540,E,1,5,2.80,139.4,M,47.9,M,,*43",,,,
2021-12-22T14:43:24+01:00,21,29.52,30.89,1010.40,13.90,17.70,"$GNGGA,134319.000,4900.5214,N,00825.4576,E,1,6,1.46,139.1,M,47.9,M,,*4A",,,,
2021-12-22T14:43:44+01:00,22,29.70,30.79,1010.39,13.40,17.10,"$GNGGA,134339.000,4900.5223,N,00825.4575,E,1,6,1.46,138.9,M,47.9,M,,*46",,,,
2021-12-22T14:44:05+01:00,23,29.87,30.45,1010.38,14.70,18.60,"$GNGGA,134400.000,4900.5197,N,00825.4595,E,1,6,1.46,139.6,M,47.9,M,,*47",,,,
2021-12-22T14:44:25+01:00,24,30.02,30.12,1010.37,14.10,16.80,"$GNGGA,134420.000,4900.5184,N,00825.4540,E,1,6,1.45,140.2,M,47.9,M,,*46",,,,
2021-12-22T14:44:45+01:00,25,30.17,29.98,1010.37,14.60,19.60,"$GNGGA,134440.000,4900.5178,N,00825.4452,E,1,6,1.57,139.6,M,47.9,M,,*48",,,,
2021-12-22T14:45:06+01:00,26,30.31,29.79,1010.36,14.30,19.90,"$GNGGA,134501.000,4900.5179,N,00825.4293,E,1,5,5.33,136.4,M,47.9,M,,*4E",,,,
2021-12-22T14:45:26+01:00,27,30.44,29.64,1010.35,14.60,22.10,"$GNGGA,134521.000,4900.5201,N,00825.4277,E,1,5,2.83,133.7,M,47.9,M,,*40",,,,
2021-12-22T14:45:46+01:00,28,30.57,29.51,1010.34,14.00,21.30,"$GNGGA,134541.000,4900.5185,N,00825.4413,E,1,5,2.83,134.1,M,47.9,M,,*4C",,,,
2021-12-22T14:46:07+01:00,29,30.69,29.22,1010.33,12.50,19.90,"$GNGGA,134602.000,4900.5218,N,00825.4639,E,1,5,2.84,137.0,M,47.9,M,,*40",,,,
2021-12-22T14:46:27+01:00,30,30.80,29.09,1010.33,13.60,19.80,"$GNGGA,134622.000,4900.5180,N,00825.4670,E,1,4,3.34,138.1,M,47.9,M,,*48",,,,
2021-12-22T14:46:47+01:00,31,30.91,29.07,1010.31,13.80,17.00,"$GNGGA,134642.000,4900.5194,N,00825.4705,E,1,4,3.35,138.8,M,47.9,M,,*40",,,,
2021-12-22T14:47:08+01:00,32,31.01,28.93,1010.30,14.90,17.10,"$GNGGA,134703.000,4900.5208,N,00825.4522,E,1,5,1.53,139.4,M,47.9,M,,*4B",,,,
2021-12-22T14:47:28+01:00,33,31.11,28.68,1010.30,13.60,20.40,"$GNGGA,134723.000,4900.5215,N,00825.4515,E,1,5,1.52,142.3,M,47.9,M,,*4B",,,,
2021-12-22T14:47:48+01:00,34,31.20,28.33,1010.28,13.40,21.60,"$GNGGA,134743.000,4900.5213,N,00825.4569,E,1,5,1.52,141.3,M,47.9,M,,*43",,,,
2021-12-22T14:48:09+01:00,35,31.28,28.24,1010.27,13.50,23.00,"$GNGGA,134804.000,4900.5212,N,00825.4544,E,1,5,1.52,142.7,M,47.9,M,,*46",,,,
2021-12-22T14:48:29+01:00,36,31.35,28.12,1010.25,14.90,19.50,"$GNGGA,134824.000,4900.5206,N,00825.4601,E,1,5,1.51,145.0,M,47.9,M,,*40",,,,
2021-12-22T14:48:49+01:00,37,31.42,28.09,1010.23,15.50,18.80,"$GNGGA,134844.000,4900.5216,N,00825.4621,E,1,5,1.51,144.2,M,47.9,M,,*46",,,,
2021-12-22T14:49:10+01:00,38,31.48,27.98,1010.23,15.30,18.60,"$GNGGA,134905.000,4900.5217,N,00825.4620,E,1,5,1.51,142.3,M,47.9,M,,*45",,,,
